location,time,type,address
"['29.5957864039304', '-95.1976580047403']",10/21/2019 19:11,CRASH/MAJOR/NON FATAL,11864 ALGONQUIN DR 
"['29.7754604', '-95.31521']",10/21/2019 19:09,CRASH/MAJOR/NON FATAL,6606 LOCKWOOD DR
"['29.7285231', '-95.550971']",10/21/2019 18:51,CRASH/MAJOR/NON FATAL,9300 RICHMOND AVE
"['29.7589382', '-95.3676974']",10/21/2019 18:46,TRAFFIC HAZARD/URGENT,1498 S LOOP W 
"['29.6794665', '-95.4458751']",10/21/2019 18:42,CRASH/MINOR/FSGI,727 BUNKER HILL RD
"['29.7739672244898', '-95.5316680612245']",10/21/2019 18:35,CRASH/MINOR,2198 ANTOINE DR 
"['29.811109', '-95.475042']",10/21/2019 18:28,CRASH/MINOR,1103 FEDERAL RD 
"['29.7701279433962', '-95.2135583396226']",10/21/2019 18:27,CRASH/MINOR/FSGI,4502 CORNISH ST
"['29.7786285961538', '-95.4064381730769']",10/21/2019 18:22,CRASH/MINOR,1101 LEELAND ST 
"['29.751948', '-95.367429']",10/21/2019 18:21,CRASH/MAJOR/NON FATAL,2900 S GESSNER RD
"['29.734686', '-95.539384']",10/21/2019 18:19,CRASH/MAJOR/NON FATAL,13333 NORTHBOROUGH DR
"['29.9590767890994', '-95.4235250747061']",10/21/2019 18:16,CRASH/MINOR,9898 HOLLISTER ST 
"['29.883803', '-95.506869']",10/21/2019 18:12,CRASH/MAJOR/NON FATAL,4817 MAIN ST
"['29.6712579', '-95.4326317']",10/21/2019 18:02,CRASH/MINOR/FSGI,8520 PITNER RD
"['29.8292970913185', '-95.5006378828285']",10/21/2019 18:01,CRASH/MAJOR/FSRA,5310 S RICE AVE
"['29.7243709', '-95.4711771917257']",10/21/2019 17:56,CRASH/MINOR,201 WAUGH DR
"['29.7639617', '-95.3988801']",10/21/2019 17:51,CRASH/MINOR,14818 S POST OAK RD 
"['29.6118843846154', '-95.4650512307692']",10/21/2019 17:45,CRASH/MINOR,14698 WHITE HEATHER DR 
"['29.6135489772727', '-95.4389429318182']",10/21/2019 17:40,CRASH/MAJOR/NON FATAL,5509 S SAM HOUSTON PKWY W 
"['29.6010155204082', '-95.4652545816326']",10/21/2019 17:36,CRASH/MINOR,7805 LITTLE YORK RD 
"['29.8718761919192', '-95.2777413838384']",10/21/2019 17:35,CRASH/MINOR,HOBBY AIRPORT 7800 AIRPORT BLVD
"['29.8543958446649', '-95.3625808086038']",10/21/2019 17:25,CRASH/MAJOR/NON FATAL,WIH10IB-SILBER RD 7693 W IH 10 FWY IB
"['29.61899', '-95.266819']",10/21/2019 16:54,CRASH/MINOR/DISTURBANCE,8650 GULF FWY OB
"['29.597532', '-95.1964804']",10/21/2019 14:11,CRASH/MINOR/DISTURBANCE,213 CAPLIN ST
"['29.8156096386152', '-95.3693851405038']",10/21/2019 12:25,CRASH/MINOR/FSGI,6225 BISSONNET ST
"['29.6957945714286', '-95.4913357857143']",10/21/2019 08:52,CRASH/MAJOR/FATALITY,11000 E HARDY RD
