Address,Cross_Street,Keymap,Time,Incident_Type,Response,location,lat,lon
18800 EASTEX FWY OB,WILL CLAYTON ENTR,375C,10/21/2019 21:32,TRAFFIC HAZARD/URGENT,N,"['29.991741109589', '-95.2726655958904']",29.991741109589,-95.2726655958904
5724 KENILWOOD DR , ,534W,10/21/2019 21:06,CRASH/MAJOR/NON FATAL,N,"['29.6704546167285', '-95.3359342358184']",29.6704546167285,-95.3359342358184
6626 GULF FWY OB,GRIGGS ENTR,534H,10/21/2019 20:40,CRASH/MAJOR/FSRA,N,"['29.597532', '-95.1964804']",29.597532,-95.1964804
7531 WESTHEIMER RD,BLK STONEY BROOK DR,490V,10/21/2019 20:15,CRASH/MINOR,N,"['29.7378077', '-95.4923975']",29.7378077,-95.4923975
7201 MAIN ST , ,532H,10/21/2019 19:58,CRASH/MINOR,N,"['29.7622875', '-95.3606223']",29.7622875,-95.3606223
1316 NOBLE ST,BLK CHAPMAN ST,493D,10/21/2019 19:43,CRASH/MINOR/FSGI,N,"['29.7803673265306', '-95.3544228163265']",29.7803673265306,-95.3544228163265
12502 KATY FWY OB , ,488D,10/21/2019 19:11,CRASH/MAJOR/NON FATAL,N,"['29.7842941', '-95.5638756']",29.7842941,-95.5638756
11864 ALGONQUIN DR , ,576Z,10/21/2019 19:11,CRASH/MAJOR/NON FATAL,N,"['29.5957864039304', '-95.1976580047403']",29.5957864039304,-95.1976580047403
5698 GULFTON ST , ,531B,10/21/2019 18:59,CRASH/MAJOR/NON FATAL,N,"['29.716569', '-95.480465']",29.716569,-95.480465
13333 NORTHBOROUGH DR,BLK RUSHCREEK DR,372L,10/21/2019 18:19,CRASH/MAJOR/NON FATAL,N,"['29.9590767890994', '-95.4235250747061']",29.9590767890994,-95.4235250747061
9555 S POST OAK RD,BLK MEYER PARK DR,531U,10/21/2019 17:57,CRASH/MINOR,N,"['29.6768868', '-95.4575889811215']",29.6768868,-95.4575889811215
201 WAUGH DR,HEIGHTS ENTR,492M,10/21/2019 17:56,CRASH/MINOR,N,"['29.7639617', '-95.3988801']",29.7639617,-95.3988801
7805 LITTLE YORK RD , ,415T,10/21/2019 17:36,CRASH/MINOR,N,"['29.8718761919192', '-95.2777413838384']",29.8718761919192,-95.2777413838384
213 CAPLIN ST,BLK PAINE ST,453Q,10/21/2019 14:11,CRASH/MINOR/DISTURBANCE,N,"['29.8156096386152', '-95.3693851405038']",29.8156096386152,-95.3693851405038
6225 BISSONNET ST,BLK HILLCROFT AVE,531J,10/21/2019 12:25,CRASH/MINOR/FSGI,N,"['29.6957945714286', '-95.4913357857143']",29.6957945714286,-95.4913357857143
